model_name,mean_latency,model_size,top1_acc,model_type
efficientnet_em.ra2_in1k_240,0.5934918165206909,26.22,79.252,cnn
vit_relpos_medium_patch16_224.sw_in1k_224,1.1958654403686524,148.23,82.466,transformer
tf_efficientnetv2_xl.in21k_ft_in1k_512,15.936463463306428,792.81,86.748,cnn
efficientnet_es.ra_in1k_224,0.37672172784805297,20.67,78.066,cnn
tf_efficientnet_b1.aa_in1k_240,0.34960371255874634,29.76,78.826,cnn
beit_large_patch16_224.in22k_ft_in22k_in1k_224,9.181327366828919,1217.37,87.476,transformer
vit_base_patch16_clip_384.laion2b_ft_in12k_in1k_384,7.660353660583496,331.45,87.218,transformer
res2net50_26w_6s_224,0.9464158654212952,141.27,78.570,cnn
deit3_large_patch16_384_in21ft1k_384,26.52632932662964,1162.80,87.716,transformer
mobilenetv2_050.lamb_in1k_224,0.04527146816253662,7.51,65.942,cnn
pit_ti_224_224,0.14769117832183837,18.67,72.912,transformer
mixnet_xl.ra_in1k_224,0.5724458813667297,45.69,80.476,cnn
vit_large_patch14_clip_336.laion2b_ft_in1k_336,27.03083727359772,1161.91,87.848,transformer
swinv2_large_window12to16_192to256_22kft1k_256,6.962186002731324,756.59,86.936,transformer
pvt_v2_b4_224,2.585464906692505,239.33,83.716,transformer
maxvit_tiny_tf_224.in1k_224,1.276240313053131,118.87,83.398,transformer
regnetz_b16_288,0.561781895160675,37.04,80.716,cnn
vit_large_r50_s32_224.augreg_in21k_ft_in1k_224,3.0581932783126833,1345.45,84.434
mobilevitv2_200_256,1.2718085527420044,70.46,81.136,transformer
vgg16_bn_224,2.2268668174743653,527.80,73.350,cnn
jx_nest_base_224,2.8434664607048035,258.97,83.552,cnn
efficientnet_b1_pruned.in1k_240,0.19619996547698976,24.22,78.236,cnn
levit_192_224,0.14266839027404785,42.52,79.842,transformer
regnety_320_224,4.612332808971405,553.05,80.810,cnn
edgenext_small_320,0.5827666521072388,21.50,81.568,transformer
regnetv_064_288,1.7839998006820679,116.86,83.712,cnn
maxxvit_rmlp_nano_rw_256_256,0.9387870192527771,64.41,83.030,transformer
convnext_tiny.fb_in1k_288,1.5377624869346618,109.17,82.700,cnn
gluon_resnet18_v1b_224,0.26722767353057864,44.58,70.836,cnn
densenet161_224,1.2361263632774353,110.28,77.358,cnn
convnext_base.fb_in22k_ft_in1k_384_384,8.265511870384216,338.16,86.794,cnn
gluon_resnet101_v1s_224,1.3420638203620912,170.26,80.302,cnn
convit_tiny_224,0.22696175575256347,22.34,73.116,transformer
efficientnet_el.ra_in1k_300,1.376848304271698,40.25,81.316,cnn
deit_small_distilled_patch16_224_224,0.6810021519660949,85.70,81.200,transformer
legacy_seresnet152_224,1.7539807200431823,254.75,78.660,cnn
deit3_small_patch16_384_in21ft1k_384,2.3263683557510375,84.82,84.824,transformer
resnest26d_224,0.5740707755088806,65.08,78.478,cnn
deit_small_patch16_224_224,0.684172534942627,84.22,79.856,transformer
dla34_224,0.45886783599853515,60.04,74.630,cnn
seresnext101d_32x8d_288,3.941308355331421,356.71,84.370,cnn
resnext101_32x8d_224,2.3990239262580872,338.37,79.308,cnn
lambda_resnet26t_256,0.4418096780776978,41.80,79.096,cnn
swinv2_small_window16_256_256,2.170089077949524,195.75,84.206,transformer
vit_srelpos_medium_patch16_224.sw_in1k_224,1.1952310919761657,148.16,82.236,transformer
maxvit_large_tf_224.in1k_224,7.551580429077148,809.62,84.926,transformer
swin_s3_base_224_224,2.1914910197257997,324.95,83.930,transformer
coatnet_rmlp_1_rw_224_224,1.521877384185791,159.71,83.358,transformer
dla60_res2net_224,0.6346052289009094,79.50,78.464,cnn
dla102_224,1.0531779646873474,126.84,78.032,cnn
deit3_large_patch16_224_224,9.622754669189453,1161.32,84.764,transformer
mobilevitv2_150_256,0.7864810824394226,40.51,80.376,transformer
hrnet_w40_224,1.928882884979248,219.60,78.920,cnn
regnety_004_224,0.09311968088150024,16.56,74.034,cnn
swinv2_cr_tiny_ns_224_224,0.7940569758415222,109.42,81.790,transformer
legacy_seresnet50_224,0.602423369884491,107.09,77.630,cnn
crossvit_18_240_240,1.4812026500701905,165.40,82.400,transformer
vit_base_patch32_clip_224.openai_ft_in1k_224,0.6142016530036927,336.66,81.930,transformer
jx_nest_small_224,1.6978288292884827,146.92,83.120,cnn
deit3_small_patch16_224_in21ft1k_224,0.6767025709152221,84.26,83.070,transformer
vit_base_patch8_224.augreg_in21k_ft_in1k_224,10.680639386177063,330.37,85.796,transformer
regnetx_040_224,0.6131797313690186,84.26,78.482,cnn
vit_large_patch14_clip_224.laion2b_ft_in12k_in1k_224,11.091279411315918,1160.66,87.890,transformer
efficientnet_b2_pruned.in1k_260,0.3057846188545227,31.74,79.916,cnn
inception_resnet_v2_299,1.9364030003547668,213.05,80.458,cnn
tinynet_b.in1k_188,0.13720874786376952,14.22,74.974,cnn
resnetrs350_384,10.82332547903061,625.14,84.720,cnn
swinv2_base_window12to16_192to256_22kft1k_256,3.6371779799461366,341.45,86.274,transformer
vit_base_patch32_384.augreg_in21k_ft_in1k_384,1.7511146664619446,336.93,83.350,transformer
nfnet_l0_288,1.218927276134491,217.16,82.750,cnn
regnetx_064_224,0.9507962465286255,99.86,79.072,cnn
xcit_tiny_24_p16_224_224,0.5429028749465943,46.62,79.444,transformer
tf_efficientnetv2_m.in1k_480,4.59862060546875,206.21,85.208,cnn
vit_srelpos_small_patch16_224.sw_in1k_224,0.677635908126831,84.22,81.094,transformer
regnetx_016_224,0.2739385724067688,35.00,76.950,cnn
resnetrs200_320,4.518194568157196,355.40,84.448,cnn
efficientnet_es_pruned.in1k_224,0.37450523376464845,20.67,75.000,cnn
repvgg_b1_224,1.815387988090515,219.04,78.366,cnn
gluon_inception_v3_299,0.8458479523658753,90.90,78.806,cnn
xcit_medium_24_p16_224_dist_224,2.7649314045906066,322.40,84.274,transformer
flexivit_large.300ep_in1k_240,10.29739989042282,1161.24,85.280,transformer
crossvit_15_dagger_240_240,1.0799861550331116,107.91,82.332,transformer
xcit_medium_24_p8_384_dist_384,35.51386934518814,322.12,85.816,transformer
swin_tiny_patch4_window7_224_224,0.7593537449836731,110.09,81.378,transformer
hardcorenas_d_224,0.12448453903198242,28.61,77.432,cnn
swin_large_patch4_window7_224_224,4.8092022895812985,755.75,86.320,transformer
flexivit_base.300ep_in1k_240,2.701485478878021,330.42,84.394,transformer
regnety_002_224,0.051144528388977054,12.06,70.252,cnn
efficientformer_l1_224,0.27717406749725343,46.84,80.502,transformer
legacy_seresnext101_32x4d_224,1.2454592823982238,186.58,80.228,cnn
cs3darknet_x_288,1.5805717587471009,133.67,82.228,cnn
swinv2_base_window8_256_256,3.134136366844177,337.81,84.262,transformer
tf_efficientnetv2_b3.in21k_ft_in1k_300,0.67074955701828,54.73,82.672,cnn
vit_small_patch16_384.augreg_in1k_384,2.31277619600296,84.78,81.120,transformer
ssl_resnet18_224,0.2678601861000061,44.58,72.610,cnn
gcvit_xtiny_224,0.6421345233917236,84.31,81.952,transformer
inception_v3_299,0.8453114986419678,90.90,77.440,cnn
spnasnet_100.rmsp_in1k_224,0.12702454328536988,16.82,74.084,cnn
regnety_032_288,0.8494049191474915,74.06,82.724,cnn
pit_s_distilled_224_224,0.46991777420043945,91.88,81.996,transformer
xcit_large_24_p16_224_224,5.33915684223175,721.84,82.896,transformer
tresnet_l_224,1.6013104796409607,213.52,81.488,cnn
mvitv2_base_224,2.122167873382568,197.31,84.422,transformer
maxvit_small_tf_512.in1k_512,13.06661478281021,264.62,86.088,transformer
tf_efficientnetv2_b3.in1k_300,0.6741964459419251,54.73,81.970,cnn
coatnet_rmlp_2_rw_224_224,2.7752823710441588,282.44,84.600,transformer
tf_efficientnet_b6.aa_in1k_528,5.6177485704422,163.98,84.110,cnn
efficientformer_l3_224,0.7506303906440734,119.73,82.550,transformer
ghostnet_100_224,0.07987327575683593,19.82,73.978,cnn
crossvit_base_240_240,3.034559488296509,400.91,82.216,transformer
semnasnet_100.rmsp_in1k_224,0.11215877532958984,14.80,75.448,cnn
regnetx_320_224,4.342344033718109,410.99,80.246,cnn
densenet169_224,0.5827670335769654,54.68,75.906,cnn
edgenext_xx_small_288,0.13835066556930542,5.21,71.866,transformer
tresnet_v2_l_224,1.3171132564544679,175.58,83.902,cnn
tresnet_xl_448_448,8.301338374614716,299.11,83.050,cnn
mobilenetv3_large_100.ra_in1k_224,0.09276766777038574,20.91,75.766,cnn
xcit_small_12_p8_224_dist_224,3.155653882026672,100.23,84.232,transformer
inception_v4_299,1.7881790399551392,162.78,80.168,cnn
eva_large_patch14_196.in22k_ft_in22k_in1k_196,9.208709239959717,1160.42,88.586,transformer
