model_name,mean_latency,model_size,top1_acc,model_type
rexnet_130_224,0.06594177484512329,28.79,79.500,cnn
efficientnet_b3_pruned.in1k_300,0.15378923416137696,37.63,80.858,cnn
efficientnet_el.ra_in1k_300,0.1848275899887085,40.25,81.316,cnn
swin_large_patch4_window12_384_384,1.7483643412590026,801.07,87.148,transformer
cait_s36_384_384,2.7349660396575928,261.17,85.460,transformer
mixnet_xl.ra_in1k_224,0.1938660264015198,45.69,80.476,cnn
vit_base_patch16_224.augreg2_in21k_ft_in1k_224,0.26778950691223147,330.34,85.106,transformer
vit_base_patch16_clip_384.laion2b_ft_in1k_384,0.7728764891624451,331.45,86.620,transformer
maxxvit_rmlp_small_rw_256_256,0.3946887135505676,252.41,84.628,transformer
nf_resnet50_288,0.1928531050682068,187.21,80.662,cnn
rexnet_200_224,0.10619637966156006,62.34,81.632,cnn
vit_small_patch16_384.augreg_in21k_ft_in1k_384,0.27237831354141234,84.78,83.802,transformer
pit_ti_224_224,0.026903879642486573,18.67,72.912,transformer
cait_xxs36_224_224,0.3240333318710327,66.37,79.750,transformer
legacy_seresnet34_224,0.07339631319046021,83.77,74.808,cnn
tresnet_xl_448_448,0.9655996203422547,299.11,83.050,cnn
resnetrs270_352,1.2449936151504517,495.15,84.434,cnn
swin_s3_base_224_224,0.3070157527923584,324.95,83.930,transformer
regnety_016_224,0.12598286867141723,42.69,77.862,cnn
edgenext_small_rw_320,0.11256207227706909,30.03,80.456,transformer
crossvit_small_240_240,0.12432965040206909,102.72,81.020,transformer
semnasnet_100.rmsp_in1k_224,0.033233582973480225,14.80,75.448,cnn
tf_efficientnetv2_l.in21k_ft_in1k_480,1.7339243173599244,451.43,86.806,cnn
hrnet_w18_small_v2_224,0.08696424961090088,59.53,75.114,cnn
regnety_320_224,0.7261188864707947,553.05,80.810,cnn
resmlp_24_distilled_224_224,0.10214526653289795,114.63,80.766,cnn
maxvit_base_tf_224.in1k_224,1.0956287503242492,457.52,84.860,transformer
dla102x_224,0.2718638300895691,100.25,78.510,cnn
convnext_nano_ols.d1h_in1k_288,0.15097618103027344,59.79,81.610,cnn
mobilevitv2_175_in22ft1k_256,0.19651886224746704,54.45,81.944,transformer
visformer_small_224,0.11667469739913941,153.58,82.106,transformer
mixer_l16_224_224,0.6022241950035095,794.39,72.058,cnn
vit_srelpos_medium_patch16_224.sw_in1k_224,0.13665133714675903,148.16,82.236,transformer
eca_nfnet_l0_288,0.2884330630302429,175.47,82.580,cnn
tf_efficientnet_b7.ra_in1k_600,2.7229146480560305,252.76,84.936,cnn
rexnet_150_224,0.07691247463226318,37.05,80.310,cnn
res2next50_224,0.17015504837036133,94.04,78.246,cnn
poolformer_s24_224,0.1552416443824768,81.77,80.316,transformer
tf_mobilenetv3_large_minimal_100.in1k_224,0.04371033906936646,15.01,72.248,cnn
rexnet_100_224,0.04863923788070679,18.28,77.858,cnn
vit_large_patch14_clip_224.laion2b_ft_in1k_224,1.3078833222389221,1160.66,87.292,transformer
convnext_tiny.fb_in22k_ft_in1k_384_384,0.32192044258117675,109.17,84.080,cnn
beitv2_base_patch16_224.in1k_ft_in22k_in1k_224,0.2739319920539856,351.14,86.480,transformer
vit_relpos_base_patch32_plus_rpn_256.sw_in1k_256,0.12202415466308594,455.72,79.480,transformer
coatnet_rmlp_1_rw_224_224,0.2906914472579956,159.71,83.358,transformer
