model_name,mean_latency,size_in_mb,top1_acc,type
efficientnet_em.ra2_in1k_240.onnx,0.5934918165206909,26.22,79.252,CNN
vit_relpos_medium_patch16_224.sw_in1k_224.onnx,1.1958654403686524,148.23,82.466,Transformer
tf_efficientnetv2_xl.in21k_ft_in1k_512.onnx,15.936463463306428,792.81,86.748,CNN
efficientnet_es.ra_in1k_224.onnx,0.37672172784805297,20.67,78.066,CNN
tf_efficientnet_b1.aa_in1k_240.onnx,0.34960371255874634,29.76,78.826,CNN
beit_large_patch16_224.in22k_ft_in22k_in1k_224.onnx,9.181327366828919,1217.37,87.476,Transformer
vit_base_patch16_clip_384.laion2b_ft_in12k_in1k_384.onnx,7.660353660583496,331.45,87.218,Transformer
res2net50_26w_6s_224.onnx,0.9464158654212952,141.27,78.570,CNN
deit3_large_patch16_384_in21ft1k_384.onnx,26.52632932662964,1162.80,87.716,Transformer
mobilenetv2_050.lamb_in1k_224.onnx,0.04527146816253662,7.51,65.942,CNN
pit_ti_224_224.onnx,0.14769117832183837,18.67,72.912,Transformer
mixnet_xl.ra_in1k_224.onnx,0.5724458813667297,45.69,80.476,CNN
vit_large_patch14_clip_336.laion2b_ft_in1k_336.onnx,27.03083727359772,1161.91,87.848,Transformer
swinv2_large_window12to16_192to256_22kft1k_256.onnx,6.962186002731324,756.59,86.936,Transformer
pvt_v2_b4_224.onnx,2.585464906692505,239.33,83.716,Transformer
maxvit_tiny_tf_224.in1k_224.onnx,1.276240313053131,118.87,83.398,Transformer
regnetz_b16_288.onnx,0.561781895160675,37.04,80.716,CNN
vit_large_r50_s32_224.augreg_in21k_ft_in1k_224.onnx,3.0581932783126833,1345.45,84.434
mobilevitv2_200_256.onnx,1.2718085527420044,70.46,81.136,Transformer
vgg16_bn_224.onnx,2.2268668174743653,527.80,73.350,CNN
jx_nest_base_224.onnx,2.8434664607048035,258.97,83.552,CNN
efficientnet_b1_pruned.in1k_240.onnx,0.19619996547698976,24.22,78.236,CNN
levit_192_224.onnx,0.14266839027404785,42.52,79.842,Transformer
regnety_320_224.onnx,4.612332808971405,553.05,80.810,CNN
edgenext_small_320.onnx,0.5827666521072388,21.50,81.568,Transformer
regnetv_064_288.onnx,1.7839998006820679,116.86,83.712,CNN
maxxvit_rmlp_nano_rw_256_256.onnx,0.9387870192527771,64.41,83.030,Transformer
