model_name,precision,recall,mAP_0.5,mAP_0.5:0.95
yolo3d1w25_160,0.4400390871811465,0.2357098992914778,0.2368205598621933,0.1560033080915649
yolo3d1w25_192,0.5014900183234653,0.2782976685741364,0.2892920457916065,0.1942839973983398
yolo3d1w25_224,0.5221448608205905,0.3184843496901387,0.3336971128580247,0.2246980555360706
yolo3d1w25_256,0.5684260571480162,0.3442921709717624,0.3702486091226719,0.2508651459126174
yolo3d1w25_288,0.574976497974162,0.3741277330859845,0.4024847556900891,0.2737299016758748
yolo3d1w25_320,0.5964942355427256,0.3972603045947998,0.4265551957192393,0.2924854716426374
yolo3d1w25_352,0.6011637047204756,0.411440650898875,0.4435301534156153,0.3067347028118735
yolo3d1w25_384,0.5992394396656521,0.432692125669773,0.459688292204521,0.320273009582675
yolo3d1w25_416,0.6249791676289256,0.4385760739560128,0.4762059007488454,0.3336617787348078
yolo3d1w25_448,0.6253626725831374,0.4527055108136477,0.4884649947213235,0.3427419105660814
yolo3d1w25_480,0.6301281845764901,0.4602869129125322,0.4985078949500154,0.3502133986942695
yolo3d67w25_160,0.4368877249430428,0.2122489159324257,0.2170830521965941,0.1409784668564525
yolo3d67w25_192,0.4570134663967897,0.2582684420579236,0.2683524473716516,0.176482237261267
yolo3d67w25_224,0.5126370865179826,0.2982287252381231,0.3135669613445537,0.2088906732756711
yolo3d67w25_256,0.5324671080244524,0.3270869173950409,0.3441960101658977,0.2306901534597936
yolo3d67w25_288,0.5433650498578625,0.3529624994352189,0.3759636031455248,0.2542971052968993
yolo3d67w25_320,0.5467124179602123,0.3812087998361455,0.4012257550153005,0.2723581338718416
yolo3d67w25_352,0.5758926602066279,0.3932462788903696,0.4207446486422789,0.2882476072756858
yolo3d67w25_384,0.5798910659798413,0.4117335293702805,0.4390105773053903,0.3016346791550238
yolo3d67w25_416,0.5913281436232364,0.4245645009021753,0.4532041249176053,0.3131472619559942
yolo3d67w25_448,0.61198245137856,0.4289093118974392,0.4661995897820893,0.3232546633718163
yolo3d67w25_480,0.6125701847284487,0.4369730895748863,0.4757999169744495,0.3300520840804364
yolo3d67w5_160,0.5144312119763738,0.2940035396755234,0.3110352948602167,0.2083483677580222
yolo3d67w5_192,0.5667323219800197,0.342031020075231,0.3639823097538729,0.2484556408512033
yolo3d67w5_224,0.5887342057346592,0.3756035800552509,0.4086393270040085,0.2817781045155346
yolo3d67w5_256,0.6327066218104236,0.4035243085098745,0.441248327407067,0.3061292746495772
yolo3d67w5_288,0.6387940759313683,0.4292879857858971,0.4710565767632468,0.3291472612606659
yolo3d67w5_320,0.6355455309952094,0.4605429692054946,0.4963794799255656,0.3489931702146381
yolo3d67w5_352,0.6375311763596162,0.4812655913653038,0.5146038837089433,0.3642306641097756
yolo3d67w5_384,0.6525419753172356,0.4921138952693054,0.5339090459773854,0.3792412110779394
