,model_name,precision,recall,mAP_0.5,mAP_0.5:0.95
0,yolo3d1w25_160,0.74241,0.59453,0.66795,0.45812
1,yolo3d1w25_192,0.771,0.63543,0.70925,0.4981
2,yolo3d1w25_224,0.783,0.67205,0.74557,0.53356
3,yolo3d1w25_256,0.78718,0.69922,0.76829,0.55616
4,yolo3d1w25_288,0.79178,0.72366,0.79219,0.57746
5,yolo3d1w25_320,0.78541,0.73777,0.8016,0.5922
6,yolo3d1w25_352,0.79811,0.74662,0.80949,0.60239
7,yolo3d1w25_384,0.80346,0.74747,0.81699,0.61345
8,yolo3d1w25_416,0.82348,0.74521,0.8256,0.62103
9,yolo3d1w25_448,0.80501,0.76833,0.82847,0.62767
10,yolo3d1w25_480,0.82364,0.76018,0.83332,0.63085
11,yolo3d67w25_160,0.71182,0.58189,0.64451,0.43432
12,yolo3d67w25_192,0.73578,0.62808,0.69036,0.47979
13,yolo3d67w25_224,0.75349,0.65963,0.7266,0.5153
14,yolo3d67w25_256,0.78636,0.68296,0.75738,0.54097
15,yolo3d67w25_288,0.79576,0.69399,0.7766,0.56053
16,yolo3d67w25_320,0.80443,0.70424,0.7857,0.57273
17,yolo3d67w25_352,0.80475,0.72353,0.79806,0.58763
18,yolo3d67w25_384,0.8143,0.72434,0.80821,0.59822
19,yolo3d67w25_416,0.83322,0.72356,0.81625,0.60859
20,yolo3d67w25_448,0.81286,0.73858,0.82084,0.61275
21,yolo3d67w25_480,0.80504,0.7522,0.8233,0.61901
22,yolo3d67w5_160,0.7898,0.64419,0.72625,0.5142
23,yolo3d67w5_192,0.77624,0.7007,0.7601,0.5537
24,yolo3d67w5_224,0.8081,0.7259,0.79268,0.58454
25,yolo3d67w5_256,0.81411,0.74554,0.81366,0.60547
26,yolo3d67w5_288,0.83294,0.74984,0.82474,0.62587
27,yolo3d67w5_320,0.81963,0.76576,0.82899,0.63165
28,yolo3d67w5_352,0.81975,0.77688,0.83922,0.64382
29,yolo3d67w5_384,0.82878,0.78222,0.84574,0.65318
30,yolo3d67w5_416,0.81066,0.80439,0.85036,0.65953
31,yolo3d67w5_448,0.83757,0.78796,0.8527,0.65926
32,yolo3d67w5_480,0.83053,0.79462,0.85244,0.66383
33,yolo3n_160,0.7182,0.55811,0.62955,0.42068
34,yolo3n_192,0.73803,0.60504,0.67502,0.4633
35,yolo3n_224,0.76913,0.62423,0.71001,0.49874
36,yolo3n_256,0.77418,0.65344,0.73835,0.52475
37,yolo3n_288,0.77348,0.68611,0.75951,0.54273
38,yolo3n_320,0.78515,0.69635,0.77081,0.55549
39,yolo3n_352,0.78292,0.71395,0.78315,0.56838
40,yolo3n_384,0.80008,0.71089,0.79304,0.57901
41,yolo3n_416,0.77811,0.72495,0.79342,0.58384
42,yolo3n_448,0.81207,0.71277,0.80338,0.59057
43,yolo3n_480,0.79941,0.73442,0.80478,0.59017
44,yolo4d1w25_160,0.71964,0.57861,0.65053,0.45315
45,yolo4d1w25_192,0.74546,0.63423,0.70514,0.50264
46,yolo4d1w25_224,0.7722,0.66861,0.74162,0.53831
47,yolo4d1w25_256,0.78036,0.70143,0.76706,0.56492
48,yolo4d1w25_288,0.78755,0.72131,0.78774,0.59027
49,yolo4d1w25_320,0.79643,0.73424,0.80638,0.61046
50,yolo4d1w25_352,0.8064,0.7488,0.81568,0.62047
51,yolo4d1w25_384,0.81769,0.74964,0.82668,0.63358
