model_name,precision,recall,mAP_0.5,mAP_0.5:0.95,pi4_ort_latency,nano_gpu_latency,ov_latency,vim3_latency,pi4_tflite_fp32_latency,pi4_tflite_int8_latency
yolo3d1w25_160,0.60419,0.47542,0.51457,0.33024,0.0552946845690409,0.0222619557380675,0.0025207630793253,0.011241,0.0445033333333333,0.0294333333333333
yolo3d1w25_192,0.64635,0.52723,0.58262,0.38748,0.0742099209626515,0.0263645088672637,0.0031440496444701,0.0144893333333333,0.06141,0.0413333333333333
yolo3d1w25_224,0.69805,0.57962,0.64463,0.43509,0.1008745781580606,0.0292337226867675,0.0039239867528279,0.018624,0.0819433333333333,0.0563066666666666
yolo3d1w25_256,0.70107,0.60147,0.66785,0.45524,0.1225783864657083,0.0330938919385273,0.0047668313980102,0.0242236666666666,0.0998666666666666,0.07364
yolo3d1w25_288,0.7121,0.61504,0.6829,0.4741,0.1621279819806416,0.0470762165387471,0.0056349782148996,0.0321,0.12843,0.0946733333333333
yolo3d1w25_320,0.74067,0.63147,0.70777,0.49331,0.195052937666575,0.0536365878582,0.0067240317662556,0.0404166666666666,0.1673133333333333,0.1168766666666666
yolo3d1w25_352,0.76172,0.63574,0.72223,0.51042,0.2410967926184336,0.0613036274909972,0.0075853558381398,0.0510843333333333,0.20052,0.1440033333333333
yolo3d1w25_384,0.74874,0.65641,0.73255,0.52498,0.2823354423046112,0.0678705855210621,0.010598128636678,0.0574516666666666,0.2398866666666666,0.1711633333333333
yolo3d1w25_416,0.74342,0.67081,0.74362,0.53484,0.3359174036979676,0.0808693091074625,0.010617777109146,0.0674016666666666,0.2806633333333333,0.2037333333333333
yolo3d1w25_448,0.76197,0.67092,0.75584,0.54531,0.392384071747462,0.0907123812039692,0.0115778585275014,0.077239,0.3336333333333334,0.2360666666666666
yolo3d1w25_480,0.75913,0.68816,0.75987,0.55255,0.4438917716344197,0.1027054782708485,0.0131076276302337,0.0850176666666666,0.3898433333333333,0.2774533333333333
yolo3d1w5_160,0.69017,0.5535,0.62149,0.41849,0.1647899067401885,0.0467270851135253,0.0068796090284983,0.023434,0.1926466666666666,0.0779666666666666
yolo3d1w5_192,0.73325,0.61195,0.68254,0.47462,0.2239557421207427,0.0578193298975626,0.00860214193662,0.0313053333333333,0.2628466666666667,0.1088633333333333
yolo3d1w5_224,0.76594,0.64284,0.72347,0.51144,0.2997709131240844,0.069667721192042,0.0110026947657267,0.040415,0.3682166666666666,0.15164
yolo3d1w5_256,0.77308,0.66978,0.74432,0.53276,0.3666880031426747,0.076470384200414,0.0135770368576049,0.052076,0.3866066666666667,0.1976833333333333
yolo3d1w5_288,0.78413,0.67934,0.76132,0.55127,0.4865634417533874,0.1084005022048949,0.0160590811570485,0.072295,0.4938933333333333,0.251
yolo3d1w5_320,0.77802,0.70565,0.77936,0.57001,0.5902306652069091,0.122492640018463,0.019327026605606,0.0917366666666666,0.6003599999999999,0.31007
yolo3d1w5_352,0.79045,0.71549,0.78437,0.57611,0.7092144123713174,0.1383721550305684,0.0227987205982208,0.1111716666666666,0.72506,0.37338
yolo3d1w5_384,0.78324,0.72523,0.79349,0.58594,0.842669541835785,0.1520987017949422,0.0264409871896107,0.1214863333333333,0.8611766666666667,0.4440266666666666
yolo3d1w5_416,0.81145,0.7152,0.80068,0.59762,1.0029449355602262,0.1869676689306894,0.0306375781695047,0.1420953333333333,1.0280833333333332,0.5171333333333333
yolo3d1w5_448,0.7865,0.74212,0.8056,0.6025,1.1591718212763469,0.2011905356248219,0.034625599781672,0.1674599999999999,1.2042866666666665,0.60554
