mAP_0.5:0.95_voc,mAP_0.5_voc,precision_voc,recall_voc,mAP_0.5:0.95_sku,mAP_0.5_sku,precision_sku,recall_sku,mAP_0.5:0.95_wider,mAP_0.5_wider,precision_wider,recall_wider,mAP_0.5:0.95_coco,mAP_0.5_coco,precision_coco,recall_coco,nano_gpu_latency,openvino_latency,vim3_latency,raspi4_tflite_latency,orange_pi_latency,a40_trt_latency,pi5_ort_latency,pi4_ort_latency,model_name,model_family
0.45812,0.66795,0.74241,0.59453,0.31717,0.61565,0.74198,0.52692,0.13973,0.27505,0.65978,0.22994,0.1560033080915649,0.2368205598621933,0.4400390871811465,0.2357098992914778,22.2619557380675,2.5207630793253,11.241,44.503333333333295,17.219166666666602,1.2119555473327,16.093178987503,55.2946845690409,yolo3d1w25_160,YOLOv3
0.4981,0.70925,0.771,0.63543,0.3764,0.69439,0.78455,0.61296,0.16474,0.3197,0.69324,0.27309,0.1942839973983398,0.2892920457916065,0.5014900183234653,0.2782976685741364,26.3645088672637,3.1440496444701,14.4893333333333,61.41,24.4800799999999,1.2251424789428,20.6162846088409,74.2099209626515,yolo3d1w25_192,YOLOv3
0.53356,0.74557,0.783,0.67205,0.38706,0.73975,0.80619,0.66114,0.19011,0.36473,0.72662,0.31163,0.2246980555360706,0.3336971128580247,0.5221448608205905,0.3184843496901387,29.2337226867675,3.9239867528279,18.624,81.9433333333333,29.71515333333329,1.2521147727966,28.2901549339294,100.8745781580606,yolo3d1w25_224,YOLOv3
0.55616,0.76829,0.78718,0.69922,0.46299,0.79636,0.84284,0.71954,0.21377,0.40576,0.74971,0.34513,0.2508651459126174,0.3702486091226719,0.5684260571480162,0.3442921709717624,33.0938919385273,4.766831398010201,24.223666666666603,99.8666666666666,31.0531333333333,1.2831854820251,34.5766592025756,122.5783864657083,yolo3d1w25_256,YOLOv3
0.57746,0.79219,0.79178,0.72366,0.48889,0.82449,0.85605,0.75101,0.23379,0.44174,0.75842,0.37787,0.2737299016758748,0.4024847556900891,0.574976497974162,0.3741277330859845,47.0762165387471,5.634978214899601,32.099999999999994,128.42999999999998,38.8120633333333,1.3606905937194,46.3414764404296,162.1279819806416,yolo3d1w25_288,YOLOv3
0.5922,0.8016,0.78541,0.73777,0.51141,0.84484,0.87016,0.77151,0.25685,0.48148,0.77,0.41541,0.2924854716426374,0.4265551957192393,0.5964942355427256,0.3972603045947998,53.6365878582,6.7240317662556,40.4166666666666,167.31333333333328,39.81063333333331,1.4144372940063,59.4378697872161,195.052937666575,yolo3d1w25_320,YOLOv3
0.60239,0.80949,0.79811,0.74662,0.52532,0.85815,0.88109,0.78714,0.27225,0.50981,0.78747,0.4397,0.3067347028118735,0.4435301534156153,0.6011637047204756,0.411440650898875,61.3036274909972,7.5853558381398,51.0843333333333,200.52,46.9250866666666,1.4255762100219,72.4086189270019,241.0967926184336,yolo3d1w25_352,YOLOv3
0.61345,0.81699,0.80346,0.74747,0.53792,0.86933,0.88791,0.80047,0.28979,0.54097,0.79309,0.46857,0.320273009582675,0.459688292204521,0.5992394396656521,0.432692125669773,67.8705855210621,10.598128636678,57.45166666666661,239.8866666666666,53.854850000000006,1.4957213401794,91.5583539009094,282.3354423046112,yolo3d1w25_384,YOLOv3
0.62103,0.8256,0.82348,0.74521,0.55028,0.88092,0.89371,0.81305,0.3051,0.56539,0.80608,0.49033,0.3336617787348078,0.4762059007488454,0.6249791676289256,0.4385760739560128,80.8693091074625,10.617777109146,67.4016666666666,280.6633333333333,57.8603166666666,1.5740156173706,110.1281344890594,335.9174036979676,yolo3d1w25_416,YOLOv3
0.62767,0.82847,0.80501,0.76833,0.53963,0.883,0.89891,0.81502,0.31835,0.59019,0.80696,0.51461,0.3427419105660814,0.4884649947213235,0.6253626725831374,0.4527055108136477,90.7123812039692,11.5778585275014,77.239,333.6333333333334,58.86740666666661,1.6565847396850002,134.8227095603943,392.384071747462,yolo3d1w25_448,YOLOv3
0.63085,0.83332,0.82364,0.76018,0.56481,0.89001,0.90046,0.82659,0.32939,0.60993,0.81852,0.53147,0.3502133986942695,0.4985078949500154,0.6301281845764901,0.4602869129125322,102.7054782708485,13.1076276302337,85.0176666666666,389.8433333333333,67.1238966666666,1.7366194725036002,158.3998465538025,443.8917716344197,yolo3d1w25_480,YOLOv3
0.43432,0.64451,0.71182,0.58189,0.31668,0.6131,0.73342,0.52547,0.13556,0.26813,0.63755,0.22876,0.1409784668564525,0.2170830521965941,0.4368877249430428,0.2122489159324257,18.9341461658477,2.0402665932972,9.1886666666666,37.510000000000005,16.18501,1.0049629211425,13.6701941490173,45.469315449396696,yolo3d67w25_160,YOLOv3
0.47979,0.69036,0.73578,0.62808,0.37064,0.68786,0.78783,0.60464,0.10664,0.23138,0.61881,0.2056,0.176482237261267,0.2683524473716516,0.4570134663967897,0.2582684420579236,22.1409058570861,2.5268761316934,12.308,51.2766666666666,21.8432166666666,1.0306310653686,17.4625837802886,61.222077210744104,yolo3d67w25_192,YOLOv3
0.5153,0.7266,0.75349,0.65963,0.38042,0.73344,0.80283,0.6577,0.18683,0.35973,0.71917,0.3071,0.2088906732756711,0.3135669613445537,0.5126370865179826,0.2982287252381231,24.8323694864908,3.2159694035847,15.869000000000002,70.8,24.57905,1.0482931137084,23.9134812355041,82.1164361635843,yolo3d67w25_224,YOLOv3
0.54097,0.75738,0.78636,0.68296,0.45407,0.78853,0.84017,0.7118,0.20863,0.39999,0.7386,0.34334,0.2306901534597936,0.3441960101658977,0.5324671080244524,0.3270869173950409,28.224876721700003,3.9387615521748,20.47,84.4066666666666,24.2531666666666,1.0858607292175,29.3637669086456,97.9918805758158,yolo3d67w25_256,YOLOv3
