data,hardware,pareto_indices
mAP_0.5:0.95_voc,nano_gpu_latency,"33,11,34,353,551,189,354,190,355,553,146,509,225,454,226,227,259,234,511,557,260,512,434,150,105,261,457,361,513,106,458,514,443,515,459,218,437,460,109,438,461,238,444,160,271,95,446,524,447,273,469,62,448,449,450,480,185,426,130,481,141,73,504,505,175"
mAP_0.5:0.95_voc,openvino_latency,"220,33,221,34,254,222,189,223,190,224,191,225,432,226,227,259,228,260,434,150,261,435,262,436,458,514,437,438,439,238,444,239,445,271,446,273,62,448,449,450,185,426,130,481,141,73,74,504,417,175"
mAP_0.5:0.95_voc,vim3_latency,"352,353,354,355,388,278,357,358,390,359,360,361,393,394,395,285,304,370,371,372,373,338,404,405,406,383,317,384,349,350,480,185,481,141,536,504,505,175"
mAP_0.5:0.95_voc,raspi4_tflite_latency,"220,286,253,221,254,222,210,288,255,223,256,224,146,257,225,432,147,258,226,103,433,259,214,104,260,434,215,105,261,435,216,106,262,436,217,437,438,439,444,239,445,271,446,447,273,274,62,448,449,450,426,427,481,415,73,416,74,504,417,175"
mAP_0.5:0.95_voc,orange_pi_latency,"286,352,319,353,320,386,354,321,355,298,364,388,356,278,299,332,300,366,310,333,301,334,302,368,312,336,304,313,337,314,338,315,316,348,317,349,350,480,426,481,73,536,504,505,417,175"
mAP_0.5:0.95_voc,a40_trt_latency,"33,34,35,36,37,38,39,40,41,194,17,556,557,228,558,559,361,560,362,151,513,152,514,515,205,238,568,239,240,569,570,95,524,163,273,491,274,526,448,449,450,494,185,186,426,130,481,141,73,504,505,175"
mAP_0.5_voc,nano_gpu_latency,"33,11,34,353,551,189,354,190,355,553,146,509,225,226,227,259,234,557,260,434,215,261,361,458,436,443,515,459,218,438,219,461,238,444,270,439,205,160,271,240,95,524,447,62,449,471,450,64,127,128,185,139,130,427,140,73,504,505,175"
mAP_0.5_voc,openvino_latency,"220,33,221,34,254,222,189,223,224,191,225,226,227,259,228,260,434,261,435,262,151,436,437,218,438,53,439,205,239,445,160,271,240,446,95,273,447,62,449,450,64,127,128,185,130,427,140,73,504,417,175"
mAP_0.5_voc,vim3_latency,"352,353,354,355,388,278,357,358,359,360,361,393,394,395,285,304,370,371,372,373,404,405,406,383,317,349,350,492,127,493,480,128,494,185,481,139,130,535,140,504,505,175"
mAP_0.5_voc,raspi4_tflite_latency,"220,286,253,221,254,222,210,288,255,223,256,224,431,290,257,225,291,147,258,226,433,259,214,260,434,215,261,435,216,151,436,437,218,438,219,53,439,239,445,160,271,240,446,95,61,447,62,449,450,64,127,425,128,426,185,427,140,73,504,417,175"
mAP_0.5_voc,orange_pi_latency,"286,352,319,353,320,354,321,355,298,364,388,356,278,299,332,279,300,310,333,301,334,302,312,336,304,313,337,314,315,316,348,317,349,350,127,425,412,426,185,481,139,130,427,535,140,73,504,505,417,175"
mAP_0.5_voc,a40_trt_latency,"33,34,35,36,37,38,39,40,41,194,17,42,557,18,558,19,559,361,560,153,203,515,205,207,240,569,570,95,524,163,447,491,449,492,493,494,185,139,130,427,140,142,73,504,505,175"
precision_voc,nano_gpu_latency,"33,34,353,354,35,289,231,14,225,226,147,510,292,293,267,294,442,520,19,444,93,285,466,61,273,96,97,471,70,350,74,75"
precision_voc,openvino_latency,"220,187,33,221,34,222,223,35,255,224,256,225,226,147,15,510,228,557,293,84,262,294,19,444,93,466,273,96,97,471,70,350,74,75"
precision_voc,vim3_latency,"352,353,354,355,289,388,277,278,357,389,390,365,360,391,280,333,294,282,285,466,405,348,384,349,350,74,75"
precision_voc,raspi4_tflite_latency,"220,253,221,319,209,254,222,210,255,289,256,257,225,277,291,147,213,292,293,294,217,282,19,444,285,466,61,273,96,97,471,70,350,74,75"
precision_voc,orange_pi_latency,"286,352,319,353,354,297,321,289,298,277,331,299,365,333,302,368,282,312,285,314,346,348,349,350,74,75"
precision_voc,a40_trt_latency,"33,34,35,36,38,14,40,16,17,42,18,19,93,371,96,97,471,350,74,75"
recall_voc,nano_gpu_latency,"33,11,34,551,189,354,190,355,553,509,225,454,432,257,3,226,555,233,227,259,234,260,434,564,157,361,91,443,218,460,237,219,160,239,240,117,30,62,449,492,185,426,413,427,414,504,505"
recall_voc,openvino_latency,"220,221,34,254,222,189,223,224,225,257,226,258,227,259,260,434,261,435,436,263,361,236,91,52,237,439,219,239,240,273,117,62,449,492,185,426,427,414,504,505"
recall_voc,vim3_latency,"352,353,287,354,355,388,322,278,356,357,358,359,361,395,284,369,370,371,402,372,373,339,406,491,351,481,482,130,426,535,414,504,505"
recall_voc,raspi4_tflite_latency,"220,221,254,222,210,288,255,223,256,224,431,257,258,433,259,214,260,434,261,435,436,263,218,52,219,239,240,273,117,274,62,449,492,426,427,414,504,505"
recall_voc,orange_pi_latency,"286,352,319,385,353,287,320,386,354,321,387,355,298,364,356,299,332,300,366,310,301,367,335,369,313,314,402,338,315,339,349,318,406,351,426,413,427,414,504,505"
recall_voc,a40_trt_latency,"33,34,35,36,37,38,39,41,556,558,559,361,205,237,238,568,239,240,30,491,449,492,185,426,427,414,504,505"
mAP_0.5:0.95_sku,nano_gpu_latency,"33,11,34,551,189,354,35,552,190,355,553,509,224,191,225,192,226,227,194,557,228,195,360,558,230,362,516,461,54,241,274,373,571,32,98,450,351,428,417,76"
mAP_0.5:0.95_sku,openvino_latency,"220,187,33,221,188,34,551,144,78,223,190,224,191,225,192,226,193,227,194,228,195,261,84,230,263,437,560,153,362,516,439,461,54,241,448,571,98,450,351,428,417,76"
mAP_0.5:0.95_sku,vim3_latency,"352,353,354,355,388,356,357,358,359,360,393,362,395,285,371,373,406,384,351,483,428,538,417,76"
mAP_0.5:0.95_sku,raspi4_tflite_latency,"220,286,187,221,287,188,222,144,320,288,78,223,289,190,224,290,225,291,258,226,292,227,293,260,228,294,261,84,230,296,263,437,153,362,87,516,439,461,54,241,274,448,571,98,450,428,417,76"
mAP_0.5:0.95_sku,orange_pi_latency,"286,352,319,353,320,354,321,355,322,388,356,323,389,357,324,390,358,301,391,359,326,392,302,360,327,393,303,369,362,370,395,337,305,371,307,373,340,349,318,406,351,483,428,417,76"
mAP_0.5:0.95_sku,a40_trt_latency,"33,34,35,36,37,38,39,40,41,558,43,560,362,21,87,516,10,439,461,208,241,571,32,98,527,450,351,428,417,76"
mAP_0.5_sku,nano_gpu_latency,"33,11,34,353,551,189,354,35,552,190,355,553,509,224,191,225,192,226,227,194,557,228,229,361,230,362,153,516,461,241,307,373,571,98,450,472,494,428,483,417"
mAP_0.5_sku,openvino_latency,"220,187,33,221,188,34,222,189,223,190,224,191,225,192,226,227,194,228,229,230,197,263,560,153,516,461,241,448,571,98,450,472,494,428,483,417"
mAP_0.5_sku,vim3_latency,"352,286,353,354,355,388,356,357,358,359,360,361,393,362,395,285,371,372,373,406,384,351,472,494,483,538,417"
mAP_0.5_sku,raspi4_tflite_latency,"220,286,187,221,287,188,222,288,189,223,289,224,290,257,225,291,258,226,292,227,293,260,228,294,229,295,230,296,263,153,87,109,516,461,241,307,448,571,98,450,472,494,428,483,417"
mAP_0.5_sku,orange_pi_latency,"286,319,353,320,354,321,355,322,388,356,323,389,357,324,390,358,301,325,359,326,392,302,360,327,393,303,369,283,362,395,337,305,371,306,372,307,373,349,318,406,351,472,494,483,417"
mAP_0.5_sku,a40_trt_latency,"33,34,35,36,37,38,39,40,41,42,558,43,560,362,153,87,516,207,461,208,241,571,98,527,450,472,494,428,142,483,417"
precision_sku,nano_gpu_latency,"33,11,34,551,189,354,35,552,190,355,553,509,224,191,225,192,226,227,194,557,228,229,361,230,362,560,516,461,241,447,273,96,274,571,164,471,450,494,351,428"
precision_sku,openvino_latency,"220,187,33,221,188,34,222,189,223,190,224,191,225,192,226,227,194,228,229,230,152,263,560,516,461,241,569,273,96,274,571,449,450,426,494,351,428"
precision_sku,vim3_latency,"352,286,353,354,355,289,388,322,356,357,358,359,360,361,362,395,329,285,371,373,406,382,384,351,428"
precision_sku,raspi4_tflite_latency,"220,286,221,254,188,222,288,223,289,224,290,257,225,291,258,226,227,228,229,230,296,263,459,560,219,516,461,241,447,273,96,274,571,449,164,450,426,494,428"
precision_sku,orange_pi_latency,"286,319,353,320,354,321,387,355,289,322,356,290,323,357,300,324,390,358,301,359,326,392,302,327,361,303,369,362,304,370,337,305,371,338,339,373,340,349,351,428"
precision_sku,a40_trt_latency,"33,34,35,36,37,38,39,40,41,42,43,560,21,516,207,239,461,569,208,571,164,450,494,351,428"
recall_sku,nano_gpu_latency,"33,11,34,353,189,354,552,190,355,146,509,224,191,225,192,226,227,293,557,228,229,360,361,230,362,329,516,219,461,10,54,240,241,208,373,450,318,351,384,428,483,505,417,538"
recall_sku,openvino_latency,"220,187,33,221,188,222,189,223,190,224,191,225,192,226,227,228,229,230,197,263,437,560,153,362,516,439,461,54,240,241,208,571,98,450,318,351,428,483,417,538"
recall_sku,vim3_latency,"352,286,353,354,355,388,356,357,358,359,360,361,393,362,395,371,372,373,406,384,483,505,538"
recall_sku,raspi4_tflite_latency,"220,286,221,287,222,288,189,223,289,224,290,191,225,291,226,292,259,227,293,260,228,294,229,295,230,296,263,437,108,153,329,87,219,439,461,54,240,241,208,571,164,98,450,318,428,483,417,538"
recall_sku,orange_pi_latency,"286,319,353,320,386,354,321,355,322,388,356,323,389,357,324,390,358,325,391,359,326,392,360,327,393,303,369,362,304,370,395,337,305,371,306,338,372,307,339,373,349,318,351,384,483,505,417,538"
recall_sku,a40_trt_latency,"33,34,35,36,37,38,39,40,41,42,43,560,362,21,87,516,10,207,240,208,571,373,527,450,494,318,384,428,142,483,505,417,538"
mAP_0.5:0.95_wider,nano_gpu_latency,"33,11,34,189,354,35,190,355,553,36,224,191,225,192,226,227,194,293,557,228,229,361,230,362,560,43,516,21,438,87,439,241,208,274,307,97,571,449,98,450,427,428,417"
mAP_0.5:0.95_wider,openvino_latency,"220,33,221,188,34,222,189,223,190,224,191,225,192,226,193,227,194,228,229,230,197,263,560,43,438,439,241,208,97,571,449,98,450,427,428,417"
